,1,2,,4,,5,,6,7,8,9,10
Caracterização Freitas (2002) ,Parede de pedra (40 a 60 cm de espessura) com revestimentos aderentes em ambas as faces,Parede de pedra (40 a 60 cm de espessura) + tijolo furado 11 cm,,Panos de tijolo furado (15+11) cm,,Panos de tijolo furado (11+11) cm,,Alvenaria de tijolo (15+11) cm com caixa de ar de 7 cm parcialmente preenchida (4 cm XPS),Alvenaria de tijolo (11+11) cm com caixa de ar de 7 cm parcialmente preenchida (4 cm XPS),"Fachada ventilada: tijolo de 22 cm,  isolamento térmico (4 cm XPS), e caixa de ar ventilada de 3 cm","ETIC: tijolo de 22 cm, poliestireno moldado expandido de 6 cm, revestimento em reboco armado de 2 cm","LGSF: perfil em aço galvanizado 15 cm, isolamento com 2 painéis (2x6) cm, painel OSB 1.1 cm,  EPS 4 cm"
Coeficiente de transmissão térmica U (W/m2K),"2.90 (ITE 50, Quadro II.1) pp69","1.20 (ITE 50, Quadro II.4)",,"0.96 (ITE 50, Quadro II.4)",,"1.10 (ITE 50, Quadro II.4)",,"0.47 (ITE 50, Quadro II.6)","0.50 (ITE 50, Quadro II.6)","0.59 (ITE 50, Quadro II.2)","0.45 (ITE 50, Quadro II.2)","0.179 (Araújo, 2016)"
